INDEX,DATE,RATE
RPI,1993-02-01,0.018
RPI,1993-03-01,0.019
RPI,1993-04-01,0.013
RPI,1993-05-01,0.013
RPI,1993-06-01,0.012
RPI,1993-07-01,0.014
RPI,1993-08-01,0.017
RPI,1993-09-01,0.018
RPI,1993-10-01,0.014
RPI,1993-11-01,0.014
RPI,1993-12-01,0.019
RPI,1994-01-01,0.025
RPI,1994-02-01,0.024
RPI,1994-03-01,0.023
RPI,1994-04-01,0.026
RPI,1994-05-01,0.026
RPI,1994-06-01,0.026
RPI,1994-07-01,0.023
RPI,1994-08-01,0.024
RPI,1994-09-01,0.022
RPI,1994-10-01,0.024
RPI,1994-11-01,0.026
RPI,1994-12-01,0.029
RPI,1995-01-01,0.033
RPI,1995-02-01,0.034
RPI,1995-03-01,0.035
RPI,1995-04-01,0.033
RPI,1995-05-01,0.034
RPI,1995-06-01,0.035
RPI,1995-07-01,0.035
RPI,1995-08-01,0.036
RPI,1995-09-01,0.039
RPI,1995-10-01,0.032
RPI,1995-11-01,0.031
RPI,1995-12-01,0.032
RPI,1996-01-01,0.029
RPI,1996-02-01,0.027
RPI,1996-03-01,0.027
RPI,1996-04-01,0.024
RPI,1996-05-01,0.022
RPI,1996-06-01,0.021
RPI,1996-07-01,0.022
RPI,1996-08-01,0.021
RPI,1996-09-01,0.021
RPI,1996-10-01,0.027
RPI,1996-11-01,0.027
RPI,1996-12-01,0.025
RPI,1997-01-01,0.028
RPI,1997-02-01,0.027
RPI,1997-03-01,0.026
RPI,1997-04-01,0.024
RPI,1997-05-01,0.026
RPI,1997-06-01,0.029
RPI,1997-07-01,0.033
RPI,1997-08-01,0.035
RPI,1997-09-01,0.036
RPI,1997-10-01,0.037
RPI,1997-11-01,0.037
RPI,1997-12-01,0.036
RPI,1998-01-01,0.033
RPI,1998-02-01,0.034
RPI,1998-03-01,0.035
RPI,1998-04-01,0.04
RPI,1998-05-01,0.042
RPI,1998-06-01,0.037
RPI,1998-07-01,0.035
RPI,1998-08-01,0.033
RPI,1998-09-01,0.032
RPI,1998-10-01,0.031
RPI,1998-11-01,0.03
RPI,1998-12-01,0.028
RPI,1999-01-01,0.024
RPI,1999-02-01,0.021
RPI,1999-03-01,0.021
RPI,1999-04-01,0.016
RPI,1999-05-01,0.013
RPI,1999-06-01,0.013
RPI,1999-07-01,0.013
RPI,1999-08-01,0.011
RPI,1999-09-01,0.011
RPI,1999-10-01,0.012
RPI,1999-11-01,0.014
RPI,1999-12-01,0.018
RPI,2000-01-01,0.02
RPI,2000-02-01,0.023
RPI,2000-03-01,0.026
RPI,2000-04-01,0.03
